Customer_ID,Customer_Name,Gender,Age,State,City,Bank_Branch,Account_Type,Transaction_ID,Transaction_Date,Transaction_Time,Transaction_Amount,Merchant_ID,Transaction_Type,Merchant_Category,Account_Balance,Transaction_Device,Transaction_Location,Device_Type,Is_Fraud,Transaction_Currency,Customer_Contact,Transaction_Description,Customer_Email
1941b4cf-e5db-48e7-a1cc-44bb506edfa1,Udarsh Doctor,Female,70,Manipur,Churachandpur,Churachandpur Branch,Checking,5eaae114-f685-4e8f-808e-05bcbee9dbf1,16-01-2025,21:59:56,73990.02,43a140bc-dc0b-452c-953f-93341e9d5d13,Bill Payment,Groceries,26998.49,POS Terminal,"Churachandpur, Manipur",Mobile,0,INR,+9194848XXXXXX,Subscription fee,udarshXXX@XXXXXXX.com
fe831968-7058-4e31-a659-0dae83ef636e,Aarini Grover,Female,27,Himachal Pradesh,Shimla,Shimla Branch,Business,30a10997-a957-4073-9f9c-31272a05911f,14-01-2025,17:44:21,34258.19,ee1211ae-ba11-4901-af22-4c90f59ec5cb,Credit,Clothing,16474.66,Wearable Device,"Shimla, Himachal Pradesh",POS,0,INR,+9199469XXXXXX,Corporate event ticket,aariniXXXX@XXXXX.com
c042ebab-eb62-4064-a4de-976221aac18f,Harini Bali,Female,35,Puducherry,Puducherry,Puducherry Branch,Business,586a2641-ee91-4e04-ac48-92e9c3969c47,26-01-2025,00:53:29,35041.78,a069e4cb-5201-4a77-a6b9-ed6a02747494,Withdrawal,Restaurant,79427.51,ATM Booth Kiosk,"Puducherry, Puducherry",Desktop,0,INR,+9196922XXXXXX,Insurance claim,hariniXXXXX@XXXXXX.com
4c39936a-4212-4f23-ad2f-9d100941a84b,Ojasvi Rajan,Male,56,Chandigarh,Chandigarh,Chandigarh Branch,Savings,0ee2bb94-61ce-41fb-8b8b-ec1481123012,19-01-2025,18:20:06,4070.99,a992cc0c-d1fb-4556-be10-267ea7dbf457,Transfer,Entertainment,8459.75,Debit/Credit Card,"Chandigarh, Chandigarh",ATM,0,INR,+9192385XXXXXX,Childcare expense,ojasviXXXXX@XXXXX.com
9f391091-8b78-4e4b-ba7f-f06eba76b2da,Wishi Mitter,Male,22,Gujarat,Ahmedabad,Ahmedabad Branch,Savings,2a58815d-fd37-4678-b868-5d331f4dd4ce,10-01-2025,19:48:45,13405.23,576b0254-59b4-40dc-9efe-2ea5bf671100,Bill Payment,Restaurant,71766.34,Virtual Card,"Ahmedabad, Gujarat",POS,0,INR,+9193005XXXXXX,Doctor consultation,wishiXXXX@XXXXXX.com
49bca871-d919-4503-a042-fe7bc4ac80e6,Wakeeta Rana,Male,26,Rajasthan,Udaipur,Udaipur Branch,Checking,51a8fe8d-455a-4a60-8f3b-d90e0fc1d5a6,06-01-2025,05:23:35,11149.78,d5f39fa1-2d83-417f-ae71-1753944111ad,Transfer,Electronics,59148.6,Voice Assistant,"Udaipur, Rajasthan",ATM,0,INR,+9198913XXXXXX,Public transport pass,wakeetaXXXX@XXXXXXX.com
4a361862-91bc-4b9e-8331-c166d3ef296d,Parth Sinha,Male,35,Goa,Margao,Margao Branch,Business,312b222a-4a41-4e66-9bc2-bc22888ee1c8,16-01-2025,13:08:26,18033.23,b30a8285-55de-4eac-b881-9bc033aa1aa0,Transfer,Electronics,34538.36,Bank Branch,"Margao, Goa",ATM,1,INR,+9199726XXXXXX,Car service,parthXXX@XXXXX.com
595c02b8-5ff9-4aec-bd63-ec8fb31b6891,Gaurangi Borde,Male,58,Gujarat,Rajkot,Rajkot Branch,Business,56fb0e9c-c982-48f5-864b-c4a598645ef1,19-01-2025,15:08:57,45039.87,f29ca693-7955-4fcc-b091-632f9e54ac25,Credit,Groceries,71177.89,ATM Booth Kiosk,"Rajkot, Gujarat",ATM,0,INR,+9199720XXXXXX,Lunch payment,gaurangiXXXX@XXXXX.com
ea642b33-f08a-47dd-af9d-200974b2739f,Karan Parikh,Male,28,Kerala,Kozhikode,Kozhikode Branch,Business,c1a5af7e-4743-41a6-9a4b-980862b894e3,23-01-2025,08:34:44,95345.67,885a1c3e-c8f6-42be-a0e2-3a2f2dd16341,Credit,Health,25278.38,QR Code Scanner,"Kozhikode, Kerala",POS,0,INR,+9198735XXXXXX,Cash deposit,karanXXXXX@XXXXX.com
804923b7-637f-433b-b87f-1d50de4aa1ec,Rachita Gopal,Female,19,Meghalaya,Tura,Tura Branch,Checking,94f9d2e6-bef0-464d-a95f-60dd234fe9ba,06-01-2025,03:01:00,39354.37,36341f16-396b-478c-9e1a-9bf1280ff2af,Transfer,Health,91980.99,Voice Assistant,"Tura, Meghalaya",Desktop,0,INR,+9194844XXXXXX,Home repairs,rachitaXXX@XXXXXXX.com
bd4933ce-72f1-4591-a282-5f6f5ca7f620,Abha Pathak,Male,53,Nagaland,Wokha,Wokha Branch,Checking,9c49b2ed-af4b-4d8c-86d5-3207281ddb12,07-01-2025,19:25:49,41107.43,a56d632c-429e-4ac5-a222-39fde8ea6829,Transfer,Electronics,53781.12,Desktop/Laptop,"Wokha, Nagaland",Mobile,0,INR,+9196042XXXXXX,Online workshop,abhaXXX@XXXXXXX.com
